ID2,MeanRelativeYield_1999_1999,MeanRelativeYield_1999_2000,MeanRelativeYield_1999_2001,MeanRelativeYield_1999_2002,MeanRelativeYield_1999_2003,MeanRelativeYield_1999_2004,MeanRelativeYield_1999_2005,MeanRelativeYield_1999_2006,MeanRelativeYield_1999_2007,MeanRelativeYield_1999_2008,MeanRelativeYield_1999_2009,MeanRelativeYield_1999_2010,MeanRelativeYield_1999_2011,MeanRelativeYield_1999_2012,MeanRelativeYield_1999_2013,MeanRelativeYield_1999_2014,MeanRelativeYield_1999_2015
110,0.7992103409840794,0.9036004957175519,0.8443252609787981,0.8089447851182455,0.829119116203136,0.8277932265637258,0.8078626658754272,0.8282796830243914,0.8627622925074122,0.8627622925074122,0.874433482245229,0.86773874818429,0.8696891086213675,0.8862221063611255,0.8891921330990966,0.8857474423314883,0.8795875443699679
111,0.7845972129029394,0.8445604173810132,0.8645172894237604,0.7765462263833157,0.789153980308568,0.7955246487143905,0.7853339169244117,0.7948911346681271,0.7847562397553812,0.7847562397553812,0.7646088540539282,0.7787209326385728,0.7794596184816491,0.7710163454492024,0.7709318808023428,0.7850253496761154,0.7835145086964191
112,0.9574042289309576,0.9382466190586352,0.8947710600429147,0.9449289381955972,0.9306946416101557,0.9244943968176526,0.9446109507964707,0.9285306471981619,0.9274137153838734,0.9450160553214865,0.9406399812161534,0.9401072894911687,0.9363421190941332,0.9372726377475945,0.9371048976537316,0.9378998799825832,0.929133128004769
113,0.8817268290625724,0.8961516165508379,0.956597832567153,0.9225226224226158,0.9438157911094717,0.9579076218861681,0.986574242122788,0.9634807475406659,0.9431435587124933,0.9453928319058766,0.9404493903727604,0.938637023800669,0.9289468063313273,0.9251103230165515,0.9436296024508363,0.9464974583822242,0.9495025184649819
114,0.6375191241211103,0.7246564853944313,0.7819918692412088,0.7083665978835586,0.722516489493945,0.7688348953647778,0.7797043708631394,0.7574668925017684,0.7446187942969622,0.7267526595481171,0.7266853452151742,0.749271375216142,0.7384781344716094,0.7394022848341232,0.739050299034426,0.7361305388098827,0.7238881345317039
115,0.9772609693765822,0.8994965113389178,0.9144043349061474,0.7791149834554592,0.776137828940713,0.8000831671884606,0.8054143381154187,0.7948276359410814,0.7960106608737607,0.7941770233168711,0.7871038620232593,0.7952514007449384,0.7767448275338565,0.7807698811204437,0.8035093887426068,0.804431547171028,0.8091821236758937
116,0.8844958400391437,0.9976319955973934,1.0376611286450421,1.136283374291113,1.0828642452557729,1.0741343134356476,1.0733122460309032,1.037505395987162,1.0350761806664284,1.0057248999215596,1.0016875923764086,1.013202787290737,1.007834614246149,1.0085996372147092,1.0080748305528142,1.0130242199282495,1.0225350786757412
117,1.0368049299861355,1.0558472468815272,1.0338069984988905,0.9674111196729457,0.9551001035464086,0.9428749211906569,1.010371469025886,1.0025075252566418,0.9933028592419245,0.9958161595781629,1.0039632517682815,1.0096692219526215,1.0104859276625264,1.0268690798732538,1.027917014303822,1.0324566292258646,1.04706635208365
118,0.8774717062378893,0.9978260373147823,1.0109857206462214,1.283164514811685,1.219580029485269,1.192900184519874,1.1768237690347871,1.1487713504085242,1.153723193523689,1.1648730143927222,1.1655257824425167,1.1498799539916318,1.1516340975146218,1.1462489346551281,1.1422436865291834,1.1171082318876195,1.1005797093070315
119,1.140190076541352,1.1264440305719559,1.1182744401439584,1.1997756666607178,1.2272469734446123,1.2281705711629856,1.2212446455624149,1.1690547840912344,1.193005961927251,1.187875406220356,1.1954163812951293,1.1743309246225255,1.1774739206836944,1.174488009911745,1.1849448509706264,1.1941297656133805,1.2020425293232933
120,1.103479215123301,1.1641924099938579,1.1261662034917637,1.2625295560363563,1.1786104662132542,1.1504082792158459,1.1283253995768063,1.0907752181960586,1.065371240960599,1.0623766269859967,1.0510654501054233,1.050724777320337,1.0478355296004667,1.0493051676844805,1.045517859719286,1.040896854076643,1.0356481918240215
121,0.5513489247081962,0.6029265753204969,0.6297249477260091,0.6405758863464723,0.664354500564878,0.6591710756493417,0.6245275886518168,0.633676293973138,0.6417931680436454,0.6239621658460225,0.618822475239737,0.6480729011536669,0.6294251224168621,0.6276192345835353,0.6256092169814628,0.6098450549681805,0.5966540251770462
122,1.1301795745800165,1.1301795745800165,1.1301795745800165,1.1276019739975554,1.13854908819441,1.0263890959953845,1.0263890959953845,0.9675804358213096,0.9746774634554273,0.9704743221693027,0.9704743221693027,0.9704743221693027,0.936152750493788,0.954679941519253,0.954679941519253,0.9948672483795813,0.9725247385137958
123,1.076144517746095,1.1883888736081967,1.2330761130429069,1.1432584194258877,1.1797577014115475,1.160270245796576,1.1417078688628715,1.154649217138389,1.1251052360712208,1.1527863183035147,1.1288496048927081,1.1166133368590831,1.0861198163636023,1.088436525405665,1.0505038186684448,1.0483046422019866,1.038595739797195
124,0.9632069822613992,1.0072845602719274,0.8570227726261256,0.8812425270361028,0.8704744486751457,0.8095879220486645,0.8266161627840554,0.8724134421376035,0.8654128940296896,0.8866467127478161,0.8867197743647867,0.8875179029840808,0.8808749104747045,0.8934616720159992,0.910055095333267,0.8946976308959169,0.899181458094206
125,1.1413677656629457,1.100285823335947,1.0899086463218335,1.121640666567121,1.1035249581033963,1.0938201596273947,1.0891055007317563,1.0981703144515393,1.090644673630206,1.1028428325298116,1.110759767557408,1.101894837795368,1.109986955115886,1.1123601415246769,1.1091082742886411,1.0961500634141104,1.0927480237713403
126,0.8818389988916403,0.9724328628068273,0.9365922050130077,0.860856352279273,0.8589808101914359,0.8611999249576093,0.8456555462789167,0.8544898614403306,0.8544898614403306,0.9336619300178542,0.8975627338643355,0.8679963352602812,0.8611104617934692,0.8661795513133702,0.8547679051701395,0.9134506895707891,0.9227517270893462
127,0.7815037936023603,0.9510211832671404,1.0804384181797142,1.1119731275785778,1.0946611568864497,1.1209947016598398,1.1130685713330597,1.1088614705046627,1.1010947558887045,1.0562257329165243,1.056689880116326,1.0670996469655938,1.0593880626244756,1.0697234567092335,1.0811641151508404,1.0660843992222173,1.0912314643681944
128,1.0381606478995267,1.0691509030638255,1.2603021233052354,1.2137601536694174,1.154378465891369,1.0765011233472257,1.039185016527635,1.0375957129910924,1.0633278960025767,1.0367334373782737,1.0287557335076736,1.0315293972969342,1.025959794231856,1.0283921916084415,1.0527216010567677,1.030418574087658,1.0227805325496637
129,0.8457318302058466,0.9711903401420596,0.9213155505863119,0.9650954794816324,0.9845492096722624,0.9210839133317209,0.9171117632607719,0.9282258408790932,0.9385623811493714,0.9119663946273112,0.916253733441146,0.927483280960829,0.9248527578475543,0.924491991113047,0.9441430277457271,0.9489481660552048,0.9512307657362937
130,0.8802425466652184,0.9114707004101484,0.8918832034477276,0.9212422083036919,0.8798205466642075,0.8831920798534819,0.9102483528764438,0.901978263148641,0.9376338556303373,0.8891933959139611,0.828242402954465,0.8098385576140147,0.8113815657521551,0.7919704152737517,0.7919704152737517,0.8000179527625898,0.7922002835581468
131,0.4999898520844846,0.672750998966782,0.8082640532171697,0.8426038363934325,0.8499713939878424,0.8734726182366327,0.9032060079254712,0.9032060079254712,0.9289269341267392,0.8988721965976938,0.8572181924856276,0.8816541805919296,0.8853366751144964,0.9006879818692356,0.9006879818692356,0.9200701165633698,0.9330395504003003
132,0.9999601778918434,0.9905572551734683,0.8696695660849955,0.8645595208424104,0.9200740126130146,0.9439379137001119,0.9523859077554185,0.9523859077554185,0.9741072389731699,0.9095201966807177,0.8938331946804905,0.9004855582694463,0.9011787650077476,0.9056370247981091,0.9056370247981091,0.9108713795752353,0.915328587259537
133,1.0628996949816025,1.0874210893575542,1.1399529515430367,1.0865694976786011,1.0883024243663042,1.1003775994322957,1.1147750089888002,1.0065663926983348,0.9662413264456552,0.8912963424017992,0.9894718035556664,1.0506775228660812,1.004259447538908,1.0220872209905623,1.0220872209905623,1.0238296596622394,1.0202095003988314
134,0.9094191019620732,1.018002854880259,1.0176832797628397,0.9933641528115628,0.9610564339412602,0.9834629271203141,1.0008976947683124,1.0307168716686368,1.0429285841527578,1.002233587994213,0.9840414650272425,0.972279564275941,0.9762974496568002,0.9685914093674651,0.9685914093674651,0.9476883735136096,0.9579657989591047
135,1.0229971570412955,0.9567497777127709,0.9548598654716197,0.9631871951202257,0.9858375258803533,0.9856644601301171,0.9350603220601316,0.9335041834872689,0.935842102493734,0.9224361548491231,0.9522463309949625,0.9527098934922823,0.9476242820260341,0.9589350479013239,0.9604641415155688,0.9668090418227813,0.986608239349732
136,1.1689124311721677,1.0484612922721601,1.0545065645410385,1.0705965928259014,1.1053376532700872,1.1152798504907702,1.1276657701116737,1.0584903906707708,1.0376694609219546,1.0655189469418895,1.0737582277037883,1.0846977831219677,1.0810761193738163,1.0861181643272058,1.0940055300077431,1.0971089493697423,1.1146062527477643
137,1.104832999719527,1.117943009421806,1.0676575940018302,1.0609447484503236,1.0482731715867335,1.0235188741874521,1.0131026626614987,0.9427650979253261,0.9607038461430571,0.9420478538710683,0.9422115912170823,0.9606137548437789,0.9778672247384043,0.9865421623322412,1.0062729582168533,1.0071929893292222,1.0039143611733627
138,0.6814069682971868,0.7855363408920353,0.8383537255248363,0.870612331884159,0.9250612940787558,0.9512445280978779,1.0556089542584588,1.0639935372391027,1.0556973856034981,1.0556973856034981,1.0680418753600318,1.0643743653383504,1.044828659016627,1.0572218400183417,1.0463979136635162,1.030482292613277,1.0522216786697691
139,0.7012408648646868,0.7696503048032683,0.7979129955645412,0.8419137843103759,0.8041473296351794,0.7741252906312489,0.8008997186663429,0.7847080670144584,0.7710891352527874,0.7763358781060979,0.7682984361221096,0.7878758254206604,0.776707414843796,0.7673157125955631,0.7633668966395241,0.7662703133958021,0.746891520555918
140,0.6634652881088059,0.7216482794735706,0.7435118223309986,0.7641607843280488,0.745225247740769,0.7796046642417315,0.7463026173082011,0.7540886486576689,0.75232598077139,0.7565537230282805,0.7542618648968087,0.7797487829054415,0.7708595695913414,0.7604113945191493,0.7587218589990352,0.7426994856818105,0.741182838772451
141,0.7073382737800976,0.7534872593861932,0.7549954938039066,0.7578445606246473,0.8099910715884185,0.8077819592743644,0.8279747622869443,0.8123135513091533,0.7985051591416229,0.7920307973824185,0.7854576687072895,0.7998097438379957,0.776672320477242,0.7666310030467217,0.7754987719154519,0.7770365441846585,0.7661936005641612
142,0.8224360067030637,0.9096179632515986,0.8604984939613125,0.9199652235999136,0.9107937108112448,0.9183416640419222,0.9203374907551848,0.910223762280421,0.9116576210959422,0.8987751576895077,0.888598788195884,0.8988651106931554,0.9022921435406892,0.9006101797520175,0.896444364688642,0.9015674317515961,0.9064766980251884
143,0.77540931462412,0.7306608969586641,0.8256546129700331,0.8702230636122913,0.8508144817967057,0.8557981557394903,0.8763400579840367,0.8834191462546722,0.8916308243367639,0.8791609303370095,0.8589520044061939,0.8655473303518045,0.854996196934309,0.8490495688554555,0.8548825571102042,0.8447407308443721,0.8334599841199785
144,0.7275881577381892,0.8265908762186254,0.839577808328554,0.8179199341599903,0.8095819823015589,0.8280252126920479,0.8398976179073249,0.8285336530650846,0.8396504361851714,0.8326890797391752,0.8330022955612059,0.8278138897584855,0.8364763538175375,0.8305874185545629,0.8242120147819925,0.8185550494021389,0.808277435698387
145,0.7641952464607444,0.8033200137893388,0.8523622954300324,0.8077662380231724,0.8069108535508074,0.8302951930581743,0.834049013504618,0.8356381732569972,0.8417908603450707,0.8556514422072425,0.8381764464117537,0.8597234472678307,0.8581693346878639,0.8531865038890195,0.853896056112021,0.8472186941806478,0.8354491571039421
146,0.8209111802828372,0.840529635156865,0.8576171924076436,0.9207017501749749,0.9036563027508379,0.8924749067016261,0.87695689339046,0.8680190562509332,0.8583513405991201,0.8010587166606656,0.7914441967442748,0.8006852225461412,0.7916743826423971,0.7848326141290128,0.7929530753154598,0.7639028914862597,0.759906122618723
147,0.6887479380767345,0.7094624798018645,0.6745434233849608,0.5393399598121232,0.5519444087945805,0.5456022950373632,0.5554606639770033,0.565320379808378,0.5594781581202677,0.5694210305673503,0.5828441823308124,0.6178132082623867,0.5945929127874806,0.5883392942684553,0.5877328028622093,0.5770383766779593,0.5736438934432071
148,1.1201847022104408,1.1051346104331938,1.1289608957855106,1.0863544898251318,1.1291382580061422,1.13290929020177,1.1035265411655681,1.1673990519440252,1.190367855661826,1.1840417442529467,1.1935803788702957,1.2032850927821717,1.218127173974558,1.2172186983717397,1.2245756930726486,1.2419630024589352,1.2725535342496404
149,1.4136871882182995,1.267475544327993,1.3514612684304363,1.3054332811984053,1.2472882583939098,1.23903082433275,1.2672231552532858,1.2718424412682883,1.266374250714841,1.2495908402418971,1.2468127383592296,1.2346832595631068,1.227279376982089,1.2176494182145565,1.1707946988163898,1.1981378111739296,1.1896250792547232
150,1.2761713101886323,1.2202668294199672,1.1232464354178202,1.0986109130822392,1.1054367731704178,1.0229299733265391,0.9876666852115675,0.9513464196161455,0.8771566929121878,0.85806187897897,0.8622331400675498,0.8775002846215519,0.884889516899709,0.8998337137654199,0.91446157492513,0.9425349992195821,0.9376741315817572
151,1.0879553472381849,1.0360214630089146,1.0636331301275932,1.1038472947159423,1.1198969285036704,1.0914355937298297,1.0890556050514335,1.0832111586694337,1.0577445779619907,1.040884261579933,1.0518467832425975,1.0456291503482038,1.0664735842486055,1.058758297717864,1.04753713490478,1.0520315131341396,1.0654183268569422
152,0.978654934394627,1.0381368228578438,1.1444402225176478,1.082042050293661,1.0867157870038224,1.1118657951511726,1.0705606111086914,1.0577311883491693,1.0577311883491693,1.1687524393634625,1.1545021391461616,1.1650721106995703,1.1783079713933053,1.1740926645092689,1.151437040951455,1.124846503641517,1.115639909451017
153,0.5597992881625007,0.8693169816624009,0.8898842304774547,0.9827260031173592,1.0316484914314559,1.071568019986947,1.0776495945753601,1.0796705731285023,1.0796705731285023,1.113820606739853,1.1344736653814915,1.1013012259062853,1.103022058706778,1.0901823514425666,1.0768110817931265,1.0586557416744442,1.0606465945464016
154,0.6813477835339065,0.9325033572024686,1.053911938486748,1.0511107609848591,1.0333386457975098,0.9914910930014162,1.0213134331020595,1.0299237637682237,1.0063312899506078,1.0008183872638923,1.00048306420808,1.029057368738726,1.0323927344223878,1.029935851563057,0.9980537083724335,1.013961083173645,1.0137928409827366
155,0.8054453938541997,0.8474495076005432,0.8939787552871379,0.9071632396806889,0.8796164613097686,0.8802035711073279,0.8844618826915013,0.861498435336885,0.8564165612006384,0.8175564767191956,0.808415640107163,0.8074770888408187,0.7962519160681693,0.7918711946938712,0.7820805551094847,0.7793591204671846,0.7671896645037348
156,1.0834861687536161,1.0624862148696326,1.0624862148696326,1.0251777208802868,1.0997369923959572,1.116039823658073,1.1115595422286255,1.0685259118605164,1.088682637406191,0.9825807421116988,0.9734982147317123,0.9961670406593292,0.9873080252581089,0.999055065690979,0.999055065690979,0.9877106571329671,0.973545068534429
